towers,deployment_weeks,diesel_litres_avoided,co2_saved_kg,annual_co2_rate_kg_per_year,diesel_cost_avoided_gbp,solar_tower_cost_gbp,net_cost_saving_vs_diesel_gbp,diesel_l_per_week_assumption,co2_per_litre_kg_defra_2024,diesel_price_per_l_gbp,tower_weekly_rental_gbp,attribution
6,8,4032.0,10805.8,70237.7,6249.6,14400.0,-8150.4,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
6,12,6048.0,16208.6,70237.3,9374.4,21600.0,-12225.6,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
6,26,13104.0,35118.7,70237.4,20311.2,46800.0,-26488.8,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
6,52,26208.0,70237.4,70237.4,40622.4,93600.0,-52977.6,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
8,1,672.0,1801.0,93652.0,1041.6,2400.0,-1358.4,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
8,2,1344.0,3601.9,93649.4,2083.2,4800.0,-2716.8,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
8,4,2688.0,7203.8,93649.4,4166.4,9600.0,-5433.6,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
8,8,5376.0,14407.7,93650.1,8332.8,19200.0,-10867.2,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
8,12,8064.0,21611.5,93649.8,12499.2,28800.0,-16300.8,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
8,26,17472.0,46825.0,93650.0,27081.6,62400.0,-35318.4,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
8,52,34944.0,93649.9,93649.9,54163.2,124800.0,-70636.8,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
10,1,840.0,2251.2,117062.4,1302.0,3000.0,-1698.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
10,2,1680.0,4502.4,117062.4,2604.0,6000.0,-3396.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
10,4,3360.0,9004.8,117062.4,5208.0,12000.0,-6792.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
10,8,6720.0,18009.6,117062.4,10416.0,24000.0,-13584.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
10,12,10080.0,27014.4,117062.4,15624.0,36000.0,-20376.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
10,26,21840.0,58531.2,117062.4,33852.0,78000.0,-44148.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
10,52,43680.0,117062.4,117062.4,67704.0,156000.0,-88296.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
